ClientId,Concerts,IntellectScore,ComfortScore,TransTime,WaitTime,Costs
395,4,45.2,12.5,26.0,345.0,800
472,3,45.5,36.8,13.0,305.0,600
511,4,46.2,55.0,19.0,150.0,800
750,3,38.6,90.5,0.0,165.0,600
902,4,44.4,71.9,10.0,255.0,800
1055,3,49.0,44.1,10.0,355.0,600
1148,3,47.7,68.3,8.0,165.0,600
2013,3,52.4,84.6,1.0,195.0,600
2619,3,41.2,83.0,7.0,60.0,600
2812,3,51.5,78.9,7.0,130.0,600
3048,3,35.4,48.9,14.0,105.0,600
3152,3,50.8,39.3,15.0,150.0,600
3345,3,68.7,94.4,0.0,125.0,600
3545,3,55.3,47.4,14.0,125.0,600
3572,3,51.1,17.3,15.0,435.0,600
3632,3,38.4,42.1,15.0,120.0,600
4005,3,46.6,24.1,16.0,280.0,600
4240,3,31.4,69.1,9.0,105.0,600
4832,4,42.3,41.0,17.0,315.0,800
4957,3,50.3,60.3,12.0,135.0,600
5621,3,49.9,29.2,22.0,125.0,600
5752,4,47.8,97.0,3.0,75.0,800
6164,4,52.1,94.6,2.0,150.0,800
6729,4,49.4,74.6,4.0,310.0,800
6780,4,52.7,22.8,32.0,210.0,800
6809,3,30.8,49.8,14.0,90.0,600
7057,3,53.3,40.0,16.0,115.0,600
8095,5,45.6,65.2,15.0,320.0,1000
8600,4,51.2,93.6,3.0,150.0,800
8694,3,67.5,92.9,1.0,110.0,600
8996,4,51.8,50.9,18.0,225.0,800
9022,4,38.9,44.9,21.0,180.0,800
9584,4,47.8,97.0,3.0,75.0,800
9905,3,60.1,76.2,6.0,210.0,600
10526,3,57.1,62.2,12.0,110.0,600
11011,5,58.8,66.7,15.0,300.0,1000
13992,4,40.4,61.3,14.0,255.0,800
14680,4,55.9,78.8,13.0,150.0,800
15823,3,49.6,88.6,2.0,130.0,600
16321,3,57.7,15.0,18.0,315.0,600
16467,4,47.4,92.4,1.0,190.0,800
17286,5,46.0,59.8,22.0,210.0,1000
17370,3,60.1,76.8,7.0,150.0,600
17731,4,48.2,70.4,15.0,105.0,800
17747,3,57.1,59.0,8.0,260.0,600
17761,5,46.1,42.8,27.0,225.0,1000
18177,3,63.3,77.1,3.0,225.0,600
19020,5,63.2,79.2,11.0,265.0,1000
19927,3,41.2,62.1,9.0,180.0,600
20055,3,37.7,93.3,1.0,105.0,600
20650,5,50.4,69.1,20.0,195.0,1000
21434,3,37.9,40.8,12.0,330.0,600
21971,4,56.3,80.2,13.0,130.0,800
22230,5,36.8,84.1,3.0,260.0,1000
22577,3,41.2,11.3,24.0,285.0,600
22585,3,33.5,71.9,7.0,195.0,600
23469,3,65.3,92.7,0.0,145.0,600
25679,3,31.4,69.1,9.0,105.0,600
25875,3,43.4,59.7,13.0,35.0,600
26126,3,60.0,75.1,1.0,290.0,600
26168,3,47.0,50.0,8.0,360.0,600
26252,3,67.5,92.9,1.0,110.0,600
26356,3,64.2,94.7,1.0,85.0,600
27008,3,49.7,96.4,1.0,30.0,600
28156,4,52.7,71.9,10.0,255.0,800
28167,3,43.9,89.4,1.0,150.0,600
28860,3,44.9,54.9,13.0,130.0,600
29091,3,65.3,81.6,7.0,90.0,600
29228,5,46.6,67.5,21.0,180.0,1000
29609,4,62.3,70.3,13.0,235.0,800
29705,3,55.3,47.4,14.0,125.0,600
30133,4,39.6,81.4,7.0,240.0,800
30277,3,30.9,69.6,9.0,95.0,600
31054,4,41.3,65.0,16.0,130.0,800
31247,3,55.3,59.0,8.0,260.0,600
31877,5,59.6,49.4,23.0,265.0,1000
31885,4,59.2,47.4,16.0,285.0,800
32287,3,44.9,65.0,8.0,195.0,600
32323,3,51.5,78.9,7.0,130.0,600
32827,3,61.4,76.7,0.0,300.0,600
33532,5,67.5,77.6,14.0,245.0,1000
33551,3,48.6,89.2,2.0,120.0,600
33962,3,42.9,12.6,19.0,315.0,600
34860,4,59.6,80.1,7.0,250.0,800
36226,3,56.6,66.9,3.0,330.0,600
36347,3,31.8,32.0,20.0,105.0,600
36570,3,53.4,66.5,7.0,255.0,600
36613,3,53.9,89.9,2.0,110.0,600
37425,3,53.0,40.2,13.0,280.0,600
38636,3,56.6,65.9,7.0,260.0,600
39436,3,54.5,88.0,3.0,115.0,600
39448,4,51.2,83.5,8.0,210.0,800
