Sostav,Days,Concerts,Halls,Genre,ShowTime,TransTime,WaitTime,Costs,Musician,Composer,programm,FamilyConc,TransTime_%,WaitTime_%,TransTime_Score,WaitTime_Score,Trans-Wait_%,Density,HallChanges,Top5Authors,Top5AuthorsShare,RareAuthorsShare,RecommendedArtistsRatio,RecommendedPiecesRatio,ComfortScore,ComfortLevel,RareAuthorsShare_qnorm,RecommendedPiecesRatio_qnorm,RecommendedArtistsRatio_qnorm,AvgWorksPerConcert,DepthScore,GenreDiversityScore,IntellectScore,IntellectCategory,IntellectScoreLabel,AuthorBalance,ComfortScoreLabel,AuthorBalanceLabel,Top5AuthorsShareLabel,RareAuthorsShareLabel,GMM_Cluster
[1],1,1,1,1,45.0,0.0,0.0,200,1,1,2,0,51.7,51.7,48.3,48.3,23.3,0.0,0,2,1.0,0.0,0.0,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.0004216518210088,2.0,50.0,16.7,42.9,⚖️ Базовый,🎯 Интересный (60–90%),0.5,Недостаточно данных,,,,1
[2],1,1,1,1,45.0,0.0,0.0,200,1,6,6,1,51.7,51.7,48.3,48.3,23.3,0.0,0,3,0.5,0.0,1.0,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.9886417540715754,6.0,16.666666666666664,16.7,38.6,💤 Поверхностный,⚖️ Базовый (30–60%),0.25,Недостаточно данных,,,,0
[3],1,1,1,1,45.0,0.0,0.0,200,2,2,3,0,51.7,51.7,48.3,48.3,23.3,0.0,0,2,0.667,0.0,1.0,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.9886417540715754,3.0,33.33333333333333,16.7,44.8,⚖️ Базовый,🎯 Интересный (60–90%),0.3335,Недостаточно данных,,,,1
[4],1,1,1,1,45.0,0.0,0.0,200,3,2,2,0,51.7,51.7,48.3,48.3,23.3,0.0,0,1,0.5,0.0,0.333,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.0401096294734622,2.0,50.0,16.7,30.9,💤 Поверхностный,💤 Поверхностный (0–30%),0.25,Недостаточно данных,,,,0
[5],1,1,1,1,45.0,0.0,0.0,200,2,4,4,0,51.7,51.7,48.3,48.3,23.3,0.0,0,3,0.75,0.0,0.5,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.3306936172455594,4.0,25.0,16.7,37.6,💤 Поверхностный,⚖️ Базовый (30–60%),0.375,Недостаточно данных,,,,0
[6],1,1,1,1,55.0,0.0,0.0,200,3,1,2,0,51.7,51.7,48.3,48.3,23.3,0.0,0,2,1.0,0.0,0.667,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.768368207452696,2.0,50.0,16.7,52.5,⚖️ Базовый,🧠 Насыщенный (Top 10%),0.5,Недостаточно данных,,,,1
[7],1,1,1,1,45.0,0.0,0.0,200,1,1,1,1,51.7,51.7,48.3,48.3,23.3,0.0,0,0,0.0,0.0,1.0,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.9886417540715754,1.0,100.0,16.7,36.5,💤 Поверхностный,💤 Поверхностный (0–30%),0.0,Недостаточно данных,,,,0
[8],1,1,1,1,45.0,0.0,0.0,200,2,1,2,0,51.7,51.7,48.3,48.3,23.3,0.0,0,2,1.0,0.0,0.5,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.3306936172455594,2.0,50.0,16.7,47.0,⚖️ Базовый,🎯 Интересный (60–90%),0.5,Недостаточно данных,,,,1
[9],1,1,1,1,45.0,0.0,0.0,200,1,3,4,0,51.7,51.7,48.3,48.3,23.3,0.0,0,2,0.5,0.0,1.0,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.9886417540715754,4.0,25.0,16.7,39.6,💤 Поверхностный,⚖️ Базовый (30–60%),0.25,Недостаточно данных,,,,0
[10],1,1,1,1,50.0,0.0,0.0,200,3,3,3,0,51.7,51.7,48.3,48.3,23.3,0.0,0,2,0.667,0.0,0.333,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.0401096294734622,3.0,33.33333333333333,16.7,33.0,💤 Поверхностный,💤 Поверхностный (0–30%),0.3335,Недостаточно данных,,,,0
[11],1,1,1,1,45.0,0.0,0.0,200,2,1,1,0,51.7,51.7,48.3,48.3,23.3,0.0,0,0,0.0,1.0,0.5,0.0,48.3,🔴 Неудобный,1.0,0.5000131766194065,0.3306936172455594,1.0,100.0,16.7,45.8,⚖️ Базовый,🎯 Интересный (60–90%),0.5,Недостаточно данных,,,,1
[12],1,1,1,1,45.0,0.0,0.0,200,2,6,7,0,51.7,51.7,48.3,48.3,23.3,0.0,0,3,0.429,0.143,0.0,0.0,48.3,🔴 Неудобный,0.980801665524693,0.5000131766194065,0.0004216518210088,7.0,14.285714285714285,16.7,41.2,⚖️ Базовый,⚖️ Базовый (30–60%),0.286,Недостаточно данных,,,,0
[13],1,1,1,1,45.0,0.0,0.0,200,1,1,1,0,51.7,51.7,48.3,48.3,23.3,0.0,0,0,0.0,0.0,1.0,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.9886417540715754,1.0,100.0,16.7,36.5,💤 Поверхностный,💤 Поверхностный (0–30%),0.0,Недостаточно данных,,,,0
